Item#,Word,Class,Known_proportion,AuditoryStrengthMean,GustatoryStrengthMean,HapticStrengthMean,OlfactoryStrengthMean,VisualStrengthMean,AuditoryStrengthSD,GustatoryStrengthSD,HapticStrengthSD,OlfactoryStrengthSD,VisualStrengthSD,DominantModality,ModalityExclusivity,MaxStrength
13,advice,Noun,1,4.8823529412,0,0,0,2.0588235294,0.4850712501,0,0,0,1.5996323107,Auditory,0.7033898305,4.8823529412
14,aim,Noun,1,1.4117647059,0.2352941176,1.1176470588,0.4705882353,2.6470588235,1.3256518929,0.5622957145,1.5363248737,0.7998161553,1.6179144164,Visual,0.41,2.6470588235
15,air,Noun,1,1.0588235294,1.4705882353,2.1176470588,2.5294117647,1.3529411765,1.1440382552,1.2307338796,1.317305628,1.4194033544,1.5788119137,Olfactory,0.1724137931,2.5294117647
16,alcoholic,Adjective,0.9523809524,0.75,4.35,0.35,4.3,2.85,1.1641577032,1.3869694339,0.8127277009,0.8013147092,1.7554426642,Gustatory,0.3174603175,4.35
17,alive,Adjective,1,4.0952380952,1.5714285714,3.8095238095,2.380952381,4.5714285714,1.4800257398,2.1580414401,1.470341716,2.0118695404,0.7464200273,Visual,0.1826086957,4.5714285714
18,amateur,Noun,1,2.8823529412,0.4117647059,0.5882352941,0.2941176471,3.5882352941,1.7986923355,0.8702602721,1.0641207362,0.7717436331,1.4602578338,Visual,0.4242424242,3.5882352941
19,amber,Adjective,1,0.1428571429,0.5714285714,0.5238095238,0.8571428571,4.4761904762,0.3585685828,1.3989792197,0.9807674352,1.4928400546,1.123345344,Visual,0.6594202899,4.4761904762
20,amount,Noun,1,2,1.6470588235,3.1176470588,1.3529411765,4.0588235294,1.6201851746,1.7656860023,1.4090046549,1.6934128436,0.8993461677,Visual,0.2222222222,4.0588235294
21,anger,Noun,1,3.7058823529,0.1176470588,1.4117647059,0.3529411765,4.1176470588,1.5315313367,0.4850712501,1.9383892646,0.8617697249,0.9275204136,Visual,0.4121212121,4.1176470588
22,angular,Adjective,1,0.25,0.0476190476,4.0952380952,0.0476190476,4.2857142857,0.7163503994,0.2182178902,1.2208506012,0.2182178902,1.2305631696,Visual,0.485675307,4.2857142857
23,answer,Noun,1,4,0,0.4117647059,0,2.8823529412,1.5411035007,0,1.1757350642,0,1.7636025963,Auditory,0.5483870968,4
24,antiseptic,Adjective,1,0.1428571429,1.7619047619,0.9,3.9523809524,1.6666666667,0.4780914437,1.9210612147,1.3337718577,1.3219754338,1.3904435743,Olfactory,0.4522328999,3.9523809524
25,appeal,Noun,1,2.2941176471,1.4117647059,1.2352941176,1.2941176471,3.2941176471,1.5315313367,1.9058732752,1.6019289843,1.7594283831,1.3585242859,Visual,0.2160493827,3.2941176471
26,area,Noun,1,1,0.1176470588,2.0588235294,0.5882352941,4,1.3228756555,0.4850712501,1.7843271924,1.3256518929,1.0606601718,Visual,0.5,4
27,aromatic,Adjective,1,0.2857142857,3.380952381,0.3333333333,4.5238095238,1.3,0.7171371656,1.5321941938,0.9128709292,1.1670067532,1.2607433062,Olfactory,0.4314105671,4.5238095238
28,arrangement,Noun,1,1.8235294118,0.2941176471,1.4705882353,0.4705882353,3.4117647059,1.5506165757,0.6859943406,1.7362908404,0.7998161553,1.4602578338,Visual,0.4173228346,3.4117647059
29,aspect,Noun,0.8823529412,1.875,0.5,0.8,1,2.375,1.6683325008,1.3165611772,1.2649110641,1.5491933385,2.0289570391,Visual,0.286259542,2.375
30,astringent,Adjective,0.380952381,0.375,1.75,0.5,1.25,1.625,0.7440238091,2.4348657927,1.0690449676,1.8322507626,1.5059406173,Gustatory,0.25,1.75
31,atom,Noun,0.9411764706,1,0.625,0.9411764706,0.5,1.375,1.9039432765,1.4548768562,1.7128407776,1.4142135624,1.6278820596,Visual,0.1970198675,1.375
32,attempt,Noun,1,1.6470588235,0.1764705882,1.3529411765,0.1176470588,2.5294117647,1.5788119137,0.5285941399,1.5788119137,0.3321055821,1.5857824196,Visual,0.4141414141,2.5294117647
33,audible,Adjective,1,4.9523809524,0.0476190476,0.2857142857,0.0476190476,1.1428571429,0.2182178902,0.2182178902,0.5606119106,0.2182178902,1.3147514703,Auditory,0.7573529412,4.9523809524
34,aunt,Noun,0.9411764706,3.7647058824,0.1176470588,2.7647058824,2.3125,4.4117647059,1.30045241,0.3321055821,1.30045241,1.4476993242,0.8702602721,Visual,0.3211437998,4.4117647059
35,baby,Noun,1,4.2352941176,0.8235294118,3.6470588235,3.1176470588,4.8823529412,1.200490096,1.5097720903,1.221739358,1.4090046549,0.3321055821,Visual,0.2429577465,4.8823529412
36,back,Noun,1,0.6470588235,0.2941176471,2.9411764706,0.5294117647,3.9411764706,1.0571882797,0.6859943406,1.3906198364,0.717430054,0.8993461677,Visual,0.4366197183,3.9411764706
37,background,Noun,1,1.8235294118,0.1176470588,0.5294117647,0.4117647059,3.4705882353,1.704233483,0.3321055821,1.1245914291,0.8702602721,1.7362908404,Visual,0.5277777778,3.4705882353
38,balance,Noun,1,1.2352941176,0.4117647059,1.7647058824,0.2941176471,2.9411764706,1.347655917,0.8702602721,1.6019289843,0.5878675321,1.6382379343,Visual,0.3982300885,2.9411764706
39,band,Noun,1,4.5882352941,0,1,0.4117647059,4.0588235294,0.7122871199,0,1.6201851746,1.0036697371,1.0880365478,Auditory,0.4561403509,4.5882352941
40,banging,Adjective,1,4.5238095238,0,1.3333333333,0.0476190476,3.0476190476,0.7496030696,0,1.2382783747,0.2182178902,1.687488977,Auditory,0.5053191489,4.5238095238
41,bank,Noun,1,1.2941176471,0.0588235294,1.2352941176,0.2941176471,4.4117647059,1.3585242859,0.242535625,1.5218989686,0.5878675321,0.7122871199,Visual,0.5967741935,4.4117647059
42,banner,Mixed,1,0.2903225806,0,1.7096774194,0.064516129,4.3548387097,0.8243602929,0,1.7164604741,0.2497310381,0.9503819266,Visual,0.6783919598,4.3548387097
43,barbecued,Adjective,1,1.5714285714,4.9523809524,1.380952381,4.6666666667,4.619047619,1.6300744944,0.2182178902,1.4654757069,0.4830458915,0.7400128699,Gustatory,0.2077562327,4.9523809524
44,barking,Adjective,1,5,0.1428571429,0.4761904762,0.5238095238,3.380952381,0,0.4780914437,1.0304876331,1.2090925365,1.564486832,Auditory,0.51,5
45,base,Noun,0.9411764706,1.1875,0.25,2.25,0.0625,3.3125,1.7211914478,1,1.9832633041,0.25,1.4930394056,Visual,0.4601769912,3.3125
46,bath,Noun,0.9411764706,2.6470588235,0.2941176471,4.5294117647,2.5882352941,4,1.6934128436,0.5878675321,0.8744746322,1.5434872663,1.4142135624,Haptic,0.3012552301,4.5294117647
47,bead,Mixed,0.9677419355,0.9666666667,0.0333333333,3.9,0.0666666667,4.1333333333,1.3514572807,0.1825741858,1.0618786215,0.2537081317,0.8603661343,Visual,0.4505494505,4.1333333333
48,bear,Noun,1,3.1176470588,0.4705882353,2.4705882353,1.8823529412,4.4705882353,1.3639259942,0.9432422183,1.2307338796,1.2187264327,0.7998161553,Visual,0.3222748815,4.4705882353
49,beautiful,Adjective,1,2.9047619048,2.8095238095,2.7619047619,2.8095238095,4.619047619,1.841324575,2.0644381226,1.9469145309,2.0885173597,0.8047478162,Visual,0.1167664671,4.619047619
50,beauty,Noun,1,1.9411764706,0.9411764706,2.3529411765,1.7647058824,4.9411764706,1.8530578861,1.197423705,1.6934128436,1.4802622979,0.242535625,Visual,0.3349753695,4.9411764706
51,beeping,Adjective,1,4.8571428571,0,0.1428571429,0.0476190476,1.4285714286,0.6546536707,0,0.4780914437,0.2182178902,1.3627702877,Auditory,0.75,4.8571428571
52,beery,Adjective,0.9047619048,0.6315789474,4.2631578947,0.8947368421,3.5263157895,3.1578947368,1.116070802,1.0975784084,1.1969747441,1.2635233389,1.7721035176,Gustatory,0.2911392405,4.2631578947
53,beginning,Noun,0.9411764706,2,0.625,1.375,0.875,3,1.6733200531,1.2583057392,1.2041594579,1.3102162671,1.4142135624,Visual,0.3015873016,3
54,beige,Adjective,1,0.0952380952,0.0476190476,0.0952380952,0.0952380952,4.4761904762,0.4364357805,0.2182178902,0.4364357805,0.4364357805,1.123345344,Visual,0.9207920792,4.4761904762
55,belt,Noun,1,1,0,4.2352941176,1.2352941176,4.4117647059,1.2747548784,0,0.9034248561,1.30045241,0.7952062256,Visual,0.4054054054,4.4117647059
56,bent,Adjective,1,0,0.0476190476,4.0952380952,0,4.619047619,0,0.2182178902,1.0442586799,0,0.6690433825,Visual,0.527173913,4.619047619
57,big,Adjective,1,1.7142857143,0.8571428571,4.380952381,0.4285714286,4.8571428571,1.6775832958,1.5901482411,0.7400128699,1.164964745,0.3585685828,Visual,0.3618677043,4.8571428571
58,biscuity,Adjective,1,0.9047619048,4.9523809524,2.2380952381,3,3.4761904762,1.1791845447,0.2182178902,1.4108423691,1.6431676725,1.470341716,Gustatory,0.2777777778,4.9523809524
59,bitter,Adjective,1,0.1904761905,4.9047619048,0.0952380952,2.9047619048,0.8571428571,0.6015852075,0.3007926038,0.4364357805,1.5781242633,1.0623424253,Gustatory,0.5372340426,4.9047619048
60,black,Adjective,1,0.1428571429,0.0952380952,0.0952380952,0.1428571429,4.5714285714,0.4780914437,0.3007926038,0.3007926038,0.4780914437,0.978336781,Visual,0.8867924528,4.5714285714
61,blame,Noun,1,2.3529411765,0.1764705882,0.5294117647,0.4117647059,2.2941176471,1.6934128436,0.5285941399,1.1245914291,0.8702602721,1.6110829387,Auditory,0.3775510204,2.3529411765
62,bland,Adjective,1,0.8095238095,4.8095238095,0.4285714286,3.619047619,2.0952380952,1.5690458126,0.5117663157,0.9258200998,1.3219754338,1.7861904127,Gustatory,0.3724696356,4.8095238095
63,blanket,Noun,1,0.3529411765,0.1764705882,4.2352941176,1.6470588235,4,0.6063390626,0.7276068751,0.9701425001,1.1147408034,0.7071067812,Haptic,0.3898305085,4.2352941176
64,blaring,Adjective,0.9523809524,4.5,0.2,0.45,0.2,1.3,0.8885233166,0.6958523739,0.8255779475,0.6958523739,1.2182817927,Auditory,0.6466165414,4.5
65,bleeping,Adjective,1,4.9523809524,0.0952380952,0.1904761905,0.1428571429,1.6666666667,0.2182178902,0.4364357805,0.5117663157,0.6546536707,1.653279569,Auditory,0.6891891892,4.9523809524
66,blessing,Mixed,1,3.3870967742,0.0666666667,2.1290322581,0.0967741935,3,1.5637011512,0.3651483717,1.6480682729,0.3962186862,1.6329931619,Auditory,0.3825569871,3.3870967742
67,blonde,Adjective,1,0.1904761905,0.0476190476,0.0476190476,0.1428571429,4.8095238095,0.5117663157,0.2182178902,0.2182178902,0.4780914437,0.8728715609,Visual,0.9090909091,4.8095238095
68,bloody,Adjective,1,0.7,1.2857142857,1.8571428571,1.1428571429,4.7142857143,1.1285761873,1.8205179797,1.5901482411,1.4589624493,0.7837638128,Visual,0.4138438881,4.7142857143
69,blotchy,Adjective,1,0.4285714286,0.380952381,1.6666666667,0.2380952381,4.619047619,0.9258200998,1.0712698295,1.7981471946,0.8890872794,0.8047478162,Visual,0.5974025974,4.619047619
70,blue,Adjective,1,0.7619047619,0,0.2380952381,0.1904761905,4.7619047619,1.2208506012,0,0.624880941,0.5117663157,0.5389584311,Visual,0.8,4.7619047619
71,blunt,Adjective,1,0.9047619048,0.25,4.7142857143,0.1904761905,4.5714285714,1.261140829,0.5501196042,0.6436503043,0.8728715609,0.5070925528,Haptic,0.4255319149,4.7142857143
72,boast ,Mixed,0.9677419355,4.2,0,0.1333333333,0,2.9333333333,0.9965457582,0,0.4341724855,0,1.5521583045,Auditory,0.5779816514,4.2
73,body,Noun,1,3.2352941176,1.4705882353,4.4117647059,3.3529411765,4.7647058824,1.7510501051,1.7362908404,0.7952062256,1.6934128436,0.4372373161,Visual,0.1911262799,4.7647058824
74,boiling,Adjective,1,2.7619047619,2.0952380952,4.0476190476,1,4.4285714286,2.0953463176,2.1657507221,1.4309504001,1.5491933385,0.7464200273,Visual,0.2392026578,4.4285714286
75,bomb,Mixed,0.9677419355,3.8333333333,0.0666666667,1.7666666667,1.3333333333,3.4,1.7632910713,0.2537081317,1.9419743479,1.5161960872,1.6315848018,Auditory,0.3621794872,3.8333333333
76,bone,Noun,1,1.5882352941,1.2941176471,4.0588235294,1,3.4117647059,1.9058732752,1.8290949224,1.1440382552,1.6583123952,1.6605279104,Haptic,0.2694300518,4.0588235294
77,booming,Adjective,1,4.5714285714,0.0952380952,0.9523809524,0.0952380952,2.0952380952,0.8106434834,0.4364357805,1.203170415,0.3007926038,1.6704718467,Auditory,0.5731707317,4.5714285714
78,border,Noun,0.9411764706,0.375,0.0625,1.875,0.25,3.6875,1.0246950766,0.25,1.5,0.5773502692,1.1383467544,Visual,0.58,3.6875
79,bore,Noun,1,1.8823529412,0.4705882353,0.6470588235,0.4117647059,2.1176470588,1.7636025963,1.2307338796,0.9314757425,0.6183469424,1.7986923355,Visual,0.3085106383,2.1176470588
80,boss,Noun,1,3.7647058824,0,1.2941176471,0.8823529412,4.2941176471,1.30045241,0,1.571810496,1.2689736473,0.6859943406,Visual,0.4195402299,4.2941176471
81,bother,Noun,1,1.8823529412,0.5294117647,1.0588235294,0.4117647059,2.5882352941,1.4526851406,1.2805100087,1.2485285457,1.2277430273,1.6605279104,Visual,0.3363636364,2.5882352941
82,boulder,Mixed,0.935483871,1.0689655172,0,2.3103448276,0,3.5172413793,1.5795802897,0,1.79490247,0,1.6822750254,Visual,0.51,3.5172413793
83,bouncy,Adjective,1,2,0,3.6666666667,0,3.5714285714,1.6124515497,0,1.5599145276,0,1.2071217242,Haptic,0.3969072165,3.6666666667
84,brackish,Adjective,0.0952380952,1.5,1.5,3,2,2,2.1213203436,2.1213203436,1.4142135624,2.8284271247,1.4142135624,Haptic,0.15,3
85,branching,Adjective,0.9523809524,1.2,0.05,2.45,0.1,4.1,1.6733200531,0.2236067977,1.5719582156,0.3077935056,0.9679060415,Visual,0.5126582278,4.1
86,brawl,Mixed,0.9032258065,3.0714285714,0.1428571429,1.7142857143,0.1785714286,3.5,1.5136067161,0.755928946,2.0522281091,0.6118321864,1.5030832509,Visual,0.3900414938,3.5
87,break,Noun,0.9411764706,2.875,1.125,2.5,0.5,3.0625,1.7464249197,1.6278820596,1.788854382,0.9660917831,1.5692354826,Visual,0.2546583851,3.0625
88,breakable,Adjective,1,2.0952380952,0.0952380952,4.2380952381,0.0952380952,4.2857142857,1.7579750256,0.3007926038,0.8890872794,0.3007926038,0.9023778113,Visual,0.3876651982,4.2857142857
89,breath,Noun,1,2.1764705882,2.1764705882,1.7058823529,3,1.7058823529,1.7405205442,1.8451048113,1.7235394499,1.8708286934,1.4901638283,Olfactory,0.1202185792,3
90,breezy,Adjective,1,2.9523809524,0.0476190476,2.7619047619,0.5714285714,3,1.3592715136,0.2182178902,1.7861904127,1.3255726525,1.3416407865,Visual,0.3163265306,3
91,brief,Noun,0.9411764706,2.25,0.25,0.75,0.5625,2.125,1.6124515497,0.7745966692,1.2382783747,1.0935416468,1.7464249197,Auditory,0.3368421053,2.25
92,bright,Adjective,1,0.1428571429,0.0476190476,0.1904761905,0.0952380952,5,0.4780914437,0.2182178902,0.6796357568,0.4364357805,0,Visual,0.9043478261,5
93,brilliant,Adjective,1,3,2.5238095238,2.1904761905,2.0952380952,3.9523809524,1.8708286934,2.1123221255,2.271982562,2.071346468,1.2835961388,Visual,0.1349480969,3.9523809524
94,brim,Mixed,0.7096774194,0.5454545455,0.0909090909,2.7272727273,0.0454545455,3.5454545455,1.2621701918,0.4264014327,1.4534628005,0.2132007164,1.3706888337,Visual,0.5032679739,3.5454545455
95,briny,Adjective,0.619047619,0.8461538462,3.2307692308,1.5384615385,2.1538461538,2.1538461538,1.2810252304,1.9215378457,1.7134460703,1.9081471749,1.8639632438,Gustatory,0.2403100775,3.2307692308
96,bristly,Adjective,0.9523809524,1.95,1.05,4.65,0.2,4.3,1.5035046777,1.4680814548,1.1367080818,0.6958523739,0.8645047259,Haptic,0.366255144,4.65
97,brittle,Adjective,1,1.5238095238,0.380952381,3.9523809524,0.0476190476,3.4285714286,1.4006801069,0.9734572654,1.1608699529,0.2182178902,1.1212238212,Haptic,0.4183673469,3.9523809524
98,broad,Adjective,0.9523809524,0.9523809524,0.1904761905,3.0952380952,0.2857142857,4.0476190476,1.6271505916,0.5117663157,1.7861904127,0.6436503043,1.3592715136,Visual,0.45,4.0476190476
99,broader,Mixed,0.8709677419,0.5185185185,0,2,0,3.7777777778,0.9754829325,0,1.9414506868,0,1.2810252304,Visual,0.6,3.7777777778
100,broken,Adjective,1,3.1904761905,0.4761904762,4.3333333333,0.4761904762,4.8571428571,1.6005951274,1.2891488517,1.0165300455,1.2497618821,0.3585685828,Visual,0.3285714286,4.8571428571
101,bronze,Adjective,0.9523809524,0.1428571429,0.2857142857,0.8095238095,0.619047619,4.3333333333,0.6546536707,0.7837638128,1.1670067532,1.2440333788,1.3904435743,Visual,0.6769230769,4.3333333333
102,brooch,Mixed,0.7741935484,0.2608695652,0,2,0,3.7826086957,0.7518094116,0,1.8415494421,0,1.650248514,Visual,0.6258992806,3.7826086957
103,brown,Adjective,1,0.0952380952,0.3333333333,0.1904761905,0.2380952381,4.7142857143,0.4364357805,0.8563488386,0.5117663157,0.624880941,1.10194633,Visual,0.8290598291,4.7142857143
104,brunette,Adjective,0.9523809524,0.1,0,0,0,4.8,0.3077935056,0,0,0,0.894427191,Visual,0.9795918367,4.8
105,builder,Noun,1,3.7647058824,0.1764705882,1.2352941176,1.3529411765,4.2941176471,1.7510501051,0.7276068751,1.9212434699,1.5387160423,0.9195587177,Visual,0.3804347826,4.2941176471
106,bulky,Adjective,1,0.5714285714,0.3333333333,3.7619047619,0.0952380952,4.4285714286,1.2071217242,0.7958224258,1.3749458864,0.4364357805,0.8106434834,Visual,0.4715025907,4.4285714286
107,bullet,Noun,1,2.9411764706,0.1176470588,2.8823529412,1.0588235294,3.5294117647,1.9193289268,0.4850712501,1.9963201441,1.197423705,1.545867356,Visual,0.3240223464,3.5294117647
108,bumpy,Adjective,1,1.2380952381,0.65,4.4761904762,0.0476190476,4.0952380952,1.445847914,1.1821033885,0.8135752958,0.2182178902,1.0442586799,Haptic,0.421481985,4.4761904762
109,burning,Adjective,1,1.7142857143,2.5238095238,3.619047619,4.4285714286,4.0476190476,1.7071279139,2.0154167713,1.6575943556,0.978336781,1.0712698295,Olfactory,0.166180758,4.4285714286
110,burnt,Adjective,1,0.4761904762,4.0476190476,2.380952381,4.5714285714,4.1904761905,1.123345344,0.9206622875,1.7457431219,0.5976143047,0.9807674352,Olfactory,0.2613981763,4.5714285714
111,bursting,Adjective,1,2.7619047619,1.1904761905,3.2380952381,1,4.2380952381,1.8139669761,1.7781745589,1.6704718467,1.5491933385,1.0442586799,Visual,0.2605363985,4.2380952381
112,business,Noun,1,1.8235294118,0.2941176471,0.6470588235,0.4705882353,3.5294117647,1.2862393886,0.4696682183,0.9963167462,0.717430054,1.3746657348,Visual,0.4782608696,3.5294117647
113,buttery,Adjective,1,0.0952380952,4.9047619048,1.8095238095,3.1904761905,3.0952380952,0.3007926038,0.3007926038,1.3273676062,1.123345344,1.135991281,Gustatory,0.3672727273,4.9047619048
114,buzzing,Adjective,1,4.7142857143,0.1428571429,1.7142857143,0.0476190476,1.8095238095,0.7837638128,0.4780914437,1.5856499343,0.2182178902,1.4006801069,Auditory,0.5536723164,4.7142857143
115,cache,Mixed,0.3548387097,0.6363636364,0,0.5454545455,0,2.0909090909,1.5015143871,0,1.0357254814,0,1.8140862964,Visual,0.6388888889,2.0909090909
116,call,Noun,1,4.4705882353,0.0588235294,1,0.1764705882,2.1764705882,1.2307338796,0.242535625,1.2747548784,0.5285941399,1.3800042626,Auditory,0.5597014925,4.4705882353
117,camp,Noun,1,2.5294117647,0.5882352941,2.4117647059,1.6470588235,3.8823529412,1.6999134926,0.9393364366,1.9058732752,1.6179144164,1.0537049481,Visual,0.2978723404,3.8823529412
118,capacity,Noun,0.9411764706,1.4375,0.5,2.8125,0.5,3.9411764706,1.3149778198,1.032795559,1.8337120821,0.9660917831,1.2485285457,Visual,0.3744,3.9411764706
119,caramelised,Adjective,1,0.2857142857,4.380952381,1.4285714286,3.9047619048,3.5238095238,0.5606119106,1.203170415,1.4687215043,1.2208506012,1.2891488517,Gustatory,0.3028169014,4.380952381
120,career,Noun,1,2.1176470588,0.4117647059,0.8823529412,0.4117647059,3.1176470588,1.6156404667,1.0641207362,1.4526851406,0.9393364366,1.3639259942,Visual,0.3898305085,3.1176470588
121,cash,Noun,1,1.8823529412,0.2352941176,4,1.4705882353,4.4705882353,1.7986923355,0.7524469886,1.17260394,1.5857824196,0.717430054,Visual,0.3512195122,4.4705882353
122,cast,Noun,1,1.5882352941,0.1764705882,1.2941176471,0.5882352941,3.5882352941,1.7698454569,0.5285941399,1.4037764193,0.8702602721,1.5024489812,Visual,0.4715447154,3.5882352941
123,caste,Mixed,0.5483870968,0.8823529412,0,1.9411764706,0.1176470588,3.7647058824,1.7278003697,0,1.9833868834,0.3321055821,1.0914103127,Visual,0.5614035088,3.7647058824
124,cause,Noun,0.9411764706,2.4375,0.375,0.9375,0.375,2.875,1.6720745597,0.8850612032,1.2893796958,0.8850612032,1.7078251277,Visual,0.3571428571,2.875
125,cellar,Noun,0.9411764706,1.375,0.125,2.6875,2.8125,4.125,1.4083086783,0.3415650255,1.4930394056,1.5152007568,1.3102162671,Visual,0.3595505618,4.125
126,center,Noun,1,0.7058823529,0.4705882353,2.2941176471,0.3529411765,4,1.2126781252,0.8744746322,1.8290949224,0.6063390626,0.9354143467,Visual,0.4661654135,4
127,century,Noun,1,1.7058823529,0.0588235294,0.1176470588,0.1764705882,2.1764705882,1.8290949224,0.242535625,0.4850712501,0.5285941399,1.8451048113,Visual,0.5,2.1764705882
128,chain,Noun,0.8823529412,2.125,0.1875,3.8125,0.4666666667,4.3125,1.4548768562,0.4031128874,1.167261753,0.743223353,0.6020797289,Visual,0.3782957585,4.3125
129,chair,Noun,1,0.7058823529,0.0588235294,4.2352941176,0.4117647059,4.6470588235,0.9195587177,0.242535625,0.7524469886,0.7122871199,0.6063390626,Visual,0.4561403509,4.6470588235
130,charred,Adjective,0.9047619048,0.1578947368,2.4210526316,1.6842105263,3.3157894737,3.6842105263,0.3746343246,1.9526560109,1.6684201302,1.7966831038,1.108183277,Visual,0.3130841121,3.6842105263
131,chart,Noun,1,0.5294117647,0,0.7647058824,0.0588235294,3.7647058824,0.9432422183,0,1.347655917,0.242535625,1.8210371964,Visual,0.7356321839,3.7647058824
132,chasm,Mixed,0.3548387097,1,0.0909090909,1.9090909091,0.0909090909,4.1818181818,1.4142135624,0.3015113446,1.8140862964,0.3015113446,1.0787197799,Visual,0.5625,4.1818181818
133,cheesy,Adjective,1,0.6666666667,4.7142857143,0.4761904762,4.1904761905,3.0476190476,1.3165611772,0.5606119106,0.9807674352,1.0779168622,1.6575943556,Gustatory,0.3236363636,4.7142857143
134,chequered,Adjective,0.9047619048,0.1052631579,0,0.2631578947,0,4.4736842105,0.3153017676,0,0.5619514869,0,0.9642741111,Visual,0.9239130435,4.4736842105
135,chewy,Adjective,1,1.3333333333,4.4761904762,2.0476190476,0.619047619,2.5714285714,1.3904435743,1.4006801069,1.8021151594,1.0712698295,1.660464651,Gustatory,0.349137931,4.4761904762
136,chilly,Adjective,1,0.6666666667,1.2857142857,4.1904761905,0.5714285714,2.9523809524,1.3165611772,1.901127485,1.1670067532,1.0281745266,1.3592715136,Haptic,0.3743842365,4.1904761905
137,chocolatey,Adjective,1,0.3333333333,4.9523809524,1,4.5238095238,4.1904761905,1.0645812948,0.2182178902,1.2649110641,0.7496030696,1.1670067532,Gustatory,0.3079365079,4.9523809524
138,chubby,Adjective,1,0.4285714286,0.1904761905,4.0952380952,0.5714285714,4.9523809524,1.0757057484,0.6796357568,1.2208506012,1.3255726525,0.2182178902,Visual,0.4651162791,4.9523809524
139,circular,Adjective,1,0.1428571429,0.0952380952,3.8571428571,0,4.7619047619,0.3585685828,0.4364357805,1.4242792664,0,0.5389584311,Visual,0.5376344086,4.7619047619
140,citrusy,Adjective,1,0.0476190476,5,0.5714285714,3.9523809524,2.5714285714,0.2182178902,0,0.978336781,0.8047478162,1.4687215043,Gustatory,0.4078431373,5
141,city,Noun,1,4,1.0588235294,1.5294117647,2.5882352941,4.7058823529,0.8660254038,1.2976222599,1.3746657348,1.0641207362,0.4696682183,Visual,0.2627118644,4.7058823529
142,claim,Noun,1,2.7647058824,0,0.5882352941,0,2.1764705882,2.0164762509,0,1.0641207362,0,1.5904124511,Auditory,0.5,2.7647058824
143,clammy,Adjective,0.9523809524,0.4,0.6,4.35,1.45,2.75,0.8207826817,1.1424811412,1.3869694339,1.7312909695,1.6181535936,Haptic,0.4136125654,4.35
144,clamorous,Adjective,0.380952381,2.375,0.125,2.875,0.875,2.25,2.3260942126,0.3535533906,2.1671244938,1.3562026819,1.4880476183,Haptic,0.3235294118,2.875
145,clause,Mixed,0.7419354839,2.8260869565,0,0.2608695652,0,2.7826086957,1.5855074872,0,0.7518094116,0,1.4757593343,Auditory,0.4814814815,2.8260869565
